,Video_ID,Number_frames,Label,Split_type,Frame_ID,Dataset
473,680youtube,101,0,Train,youtube_680_0155.jpg,youtube
704,680youtube,101,0,Train,youtube_680_0248.jpg,youtube
1227,239youtube,101,0,Train,youtube_239_0363.jpg,youtube
1125,239youtube,101,0,Train,youtube_239_0135.jpg,youtube
1310,239youtube,101,0,Train,youtube_239_0563.jpg,youtube
1097,239youtube,101,0,Train,youtube_239_0446.jpg,youtube
1135,239youtube,101,0,Train,youtube_239_0246.jpg,youtube
1479,727youtube,101,0,Train,youtube_727_0116.jpg,youtube
1459,727youtube,101,0,Train,youtube_727_0481.jpg,youtube
1350,727youtube,101,0,Train,youtube_727_0248.jpg,youtube
1513,727youtube,101,0,Train,youtube_727_0447.jpg,youtube
1431,727youtube,101,0,Train,youtube_727_0492.jpg,youtube
1578,647Deepfakes,101,1,Train,Deepfakes_647_622_0041.jpg,Deepfakes
1657,647Deepfakes,101,1,Train,Deepfakes_647_622_0509.jpg,Deepfakes
1652,647Deepfakes,101,1,Train,Deepfakes_647_622_0635.jpg,Deepfakes
2040,803Deepfakes,101,1,Train,Deepfakes_803_017_0023.jpg,Deepfakes
2113,803Deepfakes,101,1,Train,Deepfakes_803_017_0139.jpg,Deepfakes
2321,803Deepfakes,101,1,Train,Deepfakes_803_017_0159.jpg,Deepfakes
2254,803Deepfakes,101,1,Train,Deepfakes_803_017_0044.jpg,Deepfakes
2262,803Deepfakes,101,1,Train,Deepfakes_803_017_0079.jpg,Deepfakes
2371,956youtube,101,0,Train,youtube_956_0330.jpg,youtube
2604,956youtube,101,0,Train,youtube_956_0194.jpg,youtube
2558,956youtube,101,0,Train,youtube_956_0497.jpg,youtube
2572,956youtube,101,0,Train,youtube_956_0254.jpg,youtube
2820,09_26__walking_down_street_outside_angry__QSE5A0GF_deepfakedetection,101,1,Train,deepfakedetection_09_26__walking_down_street_outside_angry__QSE5A0GF_0076.jpg,deepfakedetection
2794,09_26__walking_down_street_outside_angry__QSE5A0GF_deepfakedetection,101,1,Train,deepfakedetection_09_26__walking_down_street_outside_angry__QSE5A0GF_0376.jpg,deepfakedetection
2734,09_26__walking_down_street_outside_angry__QSE5A0GF_deepfakedetection,101,1,Train,deepfakedetection_09_26__walking_down_street_outside_angry__QSE5A0GF_0380.jpg,deepfakedetection
2796,09_26__walking_down_street_outside_angry__QSE5A0GF_deepfakedetection,101,1,Train,deepfakedetection_09_26__walking_down_street_outside_angry__QSE5A0GF_0359.jpg,deepfakedetection
2799,09_26__walking_down_street_outside_angry__QSE5A0GF_deepfakedetection,101,1,Train,deepfakedetection_09_26__walking_down_street_outside_angry__QSE5A0GF_0105.jpg,deepfakedetection
2840,622FaceShifter,101,1,Train,FaceShifter_622_647_0136.jpg,FaceShifter
2933,622FaceShifter,101,1,Train,FaceShifter_622_647_0125.jpg,FaceShifter
2869,622FaceShifter,101,1,Train,FaceShifter_622_647_0044.jpg,FaceShifter
3000,622FaceShifter,101,1,Train,FaceShifter_622_647_0188.jpg,FaceShifter
2865,622FaceShifter,101,1,Train,FaceShifter_622_647_0003.jpg,FaceShifter
3250,714youtube,101,0,Train,youtube_714_0363.jpg,youtube
3164,714youtube,101,0,Train,youtube_714_0122.jpg,youtube
3306,714youtube,101,0,Train,youtube_714_0307.jpg,youtube
3233,714youtube,101,0,Train,youtube_714_0156.jpg,youtube
3439,501FaceShifter,101,1,Train,FaceShifter_501_326_0041.jpg,FaceShifter
3503,501FaceShifter,101,1,Train,FaceShifter_501_326_0000.jpg,FaceShifter
3487,501FaceShifter,101,1,Train,FaceShifter_501_326_0156.jpg,FaceShifter
3488,501FaceShifter,101,1,Train,FaceShifter_501_326_0093.jpg,FaceShifter
3501,501FaceShifter,101,1,Train,FaceShifter_501_326_0109.jpg,FaceShifter
3578,397youtube,101,0,Train,youtube_397_0346.jpg,youtube
3698,397youtube,101,0,Train,youtube_397_0035.jpg,youtube
3618,397youtube,101,0,Train,youtube_397_0060.jpg,youtube
3731,397youtube,101,0,Train,youtube_397_0350.jpg,youtube
3629,397youtube,101,0,Train,youtube_397_0286.jpg,youtube
3741,037FaceShifter,101,1,Train,FaceShifter_037_072_0453.jpg,FaceShifter
3746,037FaceShifter,101,1,Train,FaceShifter_037_072_0090.jpg,FaceShifter
3802,037FaceShifter,101,1,Train,FaceShifter_037_072_0425.jpg,FaceShifter
3829,037FaceShifter,101,1,Train,FaceShifter_037_072_0448.jpg,FaceShifter
3784,037FaceShifter,101,1,Train,FaceShifter_037_072_0326.jpg,FaceShifter
