,Video_ID,Label,Frame_ID,Dataset
0,02890,0,actors_02890.jpg,actors
1,05460,0,youtube_05460.jpg,youtube
2,07730,0,actors_07730.jpg,actors
3,01160,0,youtube_01160.jpg,youtube
4,03230,0,actors_03230.jpg,actors
5,11620,0,actors_11620.jpg,actors
6,08150,0,youtube_08150.jpg,youtube
7,10270,0,actors_10270.jpg,actors
8,09500,0,youtube_09500.jpg,youtube
9,06360,0,actors_06360.jpg,actors
10,04030,0,youtube_04030.jpg,youtube
11,02660,0,actors_02660.jpg,actors
12,00530,0,youtube_00530.jpg,youtube
13,10910,0,youtube_10910.jpg,youtube
14,06800,0,youtube_06800.jpg,youtube
15,03950,0,youtube_03950.jpg,youtube
16,09090,0,actors_09090.jpg,actors
17,08420,0,youtube_08420.jpg,youtube
18,11350,0,actors_11350.jpg,actors
19,13000,0,youtube_13000.jpg,youtube
20,03740,0,actors_03740.jpg,actors
21,01410,0,youtube_01410.jpg,youtube
22,07240,0,actors_07240.jpg,actors
23,05110,0,youtube_05110.jpg,youtube
24,00040,0,youtube_00040.jpg,youtube
25,02310,0,actors_02310.jpg,actors
26,04540,0,youtube_04540.jpg,youtube
27,06610,0,actors_06610.jpg,actors
28,09070,0,youtube_09070.jpg,youtube
29,14200,0,actors_14200.jpg,actors
30,12450,0,youtube_12450.jpg,youtube
31,10700,0,actors_10700.jpg,actors
32,05480,0,actors_05480.jpg,actors
33,02870,0,youtube_02870.jpg,youtube
34,01180,0,actors_01180.jpg,actors
35,13590,0,actors_13590.jpg,actors
36,10290,0,youtube_10290.jpg,youtube
37,11830,0,youtube_11830.jpg,youtube
38,06380,0,youtube_06380.jpg,youtube
39,07920,0,youtube_07920.jpg,youtube
40,02680,0,youtube_02680.jpg,youtube
41,05070,0,youtube_05070.jpg,youtube
42,07320,0,actors_07320.jpg,actors
43,01570,0,youtube_01570.jpg,youtube
44,06980,0,actors_06980.jpg,actors
45,03620,0,actors_03620.jpg,actors
46,11230,0,actors_11230.jpg,actors
47,08540,0,youtube_08540.jpg,youtube
48,10890,0,actors_10890.jpg,actors
49,10660,0,actors_10660.jpg,actors
50,12530,0,youtube_12530.jpg,youtube
51,09110,0,youtube_09110.jpg,youtube
52,06770,0,actors_06770.jpg,actors
53,04420,0,youtube_04420.jpg,youtube
54,02270,0,actors_02270.jpg,actors
55,00120,0,youtube_00120.jpg,youtube
56,14800,0,youtube_14800.jpg,youtube
57,02910,0,youtube_02910.jpg,youtube
58,07840,0,youtube_07840.jpg,youtube
59,09480,0,actors_09480.jpg,actors
60,08030,0,youtube_08030.jpg,youtube
61,11740,0,actors_11740.jpg,actors
62,13410,0,youtube_13410.jpg,youtube
63,03350,0,actors_03350.jpg,actors
64,01000,0,youtube_01000.jpg,youtube
65,07650,0,actors_07650.jpg,actors
66,05500,0,youtube_05500.jpg,youtube
67,00450,0,youtube_00450.jpg,youtube
68,02700,0,actors_02700.jpg,actors
69,04150,0,youtube_04150.jpg,youtube
70,06200,0,actors_06200.jpg,actors
71,09460,0,youtube_09460.jpg,youtube
72,12040,0,youtube_12040.jpg,youtube
73,10310,0,actors_10310.jpg,actors
74,05090,0,actors_05090.jpg,actors
75,06960,0,youtube_06960.jpg,youtube
76,01590,0,actors_01590.jpg,actors
77,10870,0,youtube_10870.jpg,youtube
78,10680,0,youtube_10680.jpg,youtube
79,03830,0,youtube_03830.jpg,youtube
80,06790,0,youtube_06790.jpg,youtube
81,02290,0,youtube_02290.jpg,youtube
82,01940,0,youtube_01940.jpg,youtube
83,08970,0,youtube_08970.jpg,youtube
84,08780,0,youtube_08780.jpg,youtube
85,04810,0,youtube_04810.jpg,youtube
86,10130,0,youtube_10130.jpg,youtube
87,09640,0,actors_09640.jpg,actors
88,14430,0,youtube_14430.jpg,youtube
89,04370,0,actors_04370.jpg,actors
90,06020,0,youtube_06020.jpg,youtube
91,00670,0,actors_00670.jpg,actors
92,02520,0,youtube_02520.jpg,youtube
93,00880,0,actors_00880.jpg,actors
94,07470,0,youtube_07470.jpg,youtube
95,05720,0,actors_05720.jpg,actors
96,03170,0,youtube_03170.jpg,youtube
97,01220,0,actors_01220.jpg,actors
98,11560,0,youtube_11560.jpg,youtube
99,08210,0,actors_08210.jpg,actors
100,04390,0,youtube_04390.jpg,youtube
101,05930,0,youtube_05930.jpg,youtube
102,00690,0,youtube_00690.jpg,youtube
103,07490,0,actors_07490.jpg,actors
104,00860,0,youtube_00860.jpg,youtube
105,03190,0,actors_03190.jpg,actors
106,09850,0,youtube_09850.jpg,youtube
107,11580,0,actors_11580.jpg,actors
108,02050,0,youtube_02050.jpg,youtube
109,00300,0,actors_00300.jpg,actors
110,06550,0,youtube_06550.jpg,youtube
111,04600,0,actors_04600.jpg,actors
112,14140,0,youtube_14140.jpg,youtube
113,09330,0,actors_09330.jpg,actors
114,10440,0,youtube_10440.jpg,youtube
115,08990,0,actors_08990.jpg,actors
116,12710,0,actors_12710.jpg,actors
117,08760,0,actors_08760.jpg,actors
118,13340,0,actors_13340.jpg,actors
119,11010,0,youtube_11010.jpg,youtube
120,01750,0,actors_01750.jpg,actors
121,03400,0,youtube_03400.jpg,youtube
122,05250,0,actors_05250.jpg,actors
123,07100,0,youtube_07100.jpg,youtube
124,05850,0,youtube_05850.jpg,youtube
125,08390,0,youtube_08390.jpg,youtube
126,09930,0,youtube_09930.jpg,youtube
127,00900,0,youtube_00900.jpg,youtube
128,12670,0,actors_12670.jpg,actors
129,10520,0,youtube_10520.jpg,youtube
130,09250,0,actors_09250.jpg,actors
131,04760,0,actors_04760.jpg,actors
132,06430,0,youtube_06430.jpg,youtube
133,00260,0,actors_00260.jpg,actors
134,02130,0,youtube_02130.jpg,youtube
135,07060,0,youtube_07060.jpg,youtube
136,05330,0,actors_05330.jpg,actors
137,03560,0,youtube_03560.jpg,youtube
138,04990,0,actors_04990.jpg,actors
139,01630,0,actors_01630.jpg,actors
140,13220,0,actors_13220.jpg,actors
141,12880,0,actors_12880.jpg,actors
142,08600,0,actors_08600.jpg,actors
143,08810,0,youtube_08810.jpg,youtube
144,12690,0,youtube_12690.jpg,youtube
145,01820,0,youtube_01820.jpg,youtube
146,04780,0,youtube_04780.jpg,youtube
147,00280,0,youtube_00280.jpg,youtube
148,07080,0,actors_07080.jpg,actors
149,04970,0,youtube_04970.jpg,youtube
150,03580,0,actors_03580.jpg,actors
151,11190,0,actors_11190.jpg,actors
152,02440,0,youtube_02440.jpg,youtube
153,00710,0,actors_00710.jpg,actors
154,06140,0,youtube_06140.jpg,youtube
155,04210,0,actors_04210.jpg,actors
156,09720,0,actors_09720.jpg,actors
157,10050,0,youtube_10050.jpg,youtube
158,12300,0,actors_12300.jpg,actors
159,08370,0,actors_08370.jpg,actors
160,13750,0,actors_13750.jpg,actors
161,11400,0,youtube_11400.jpg,youtube
162,01340,0,actors_01340.jpg,actors
163,03010,0,youtube_03010.jpg,youtube
164,05640,0,actors_05640.jpg,actors
165,07510,0,youtube_07510.jpg,youtube
166,07260,0,youtube_07260.jpg,youtube
167,05130,0,actors_05130.jpg,actors
168,03760,0,youtube_03760.jpg,youtube
169,01430,0,actors_01430.jpg,actors
170,11370,0,youtube_11370.jpg,youtube
171,13020,0,actors_13020.jpg,actors
172,08400,0,actors_08400.jpg,actors
173,12470,0,actors_12470.jpg,actors
174,10720,0,youtube_10720.jpg,youtube
175,09050,0,actors_09050.jpg,actors
176,03990,0,youtube_03990.jpg,youtube
177,04560,0,actors_04560.jpg,actors
178,06630,0,youtube_06630.jpg,youtube
179,00060,0,actors_00060.jpg,actors
180,02330,0,youtube_02330.jpg,youtube
181,08190,0,youtube_08190.jpg,youtube
182,02850,0,actors_02850.jpg,actors
183,07900,0,actors_07900.jpg,actors
184,11810,0,actors_11810.jpg,actors
185,08170,0,actors_08170.jpg,actors
186,13550,0,actors_13550.jpg,actors
187,11600,0,youtube_11600.jpg,youtube
188,01140,0,actors_01140.jpg,actors
189,03210,0,youtube_03210.jpg,youtube
190,05440,0,actors_05440.jpg,actors
191,07710,0,youtube_07710.jpg,youtube
192,02640,0,youtube_02640.jpg,youtube
193,00510,0,actors_00510.jpg,actors
194,06340,0,youtube_06340.jpg,youtube
195,04010,0,actors_04010.jpg,actors
196,09520,0,actors_09520.jpg,actors
197,07280,0,actors_07280.jpg,actors
198,06820,0,actors_06820.jpg,actors
199,03780,0,actors_03780.jpg,actors
200,11390,0,actors_11390.jpg,actors
201,10930,0,actors_10930.jpg,actors
202,15860,0,actors_15860.jpg,actors
203,12490,0,youtube_12490.jpg,youtube
204,04580,0,youtube_04580.jpg,youtube
205,03970,0,actors_03970.jpg,actors
206,00080,0,youtube_00080.jpg,youtube
207,07670,0,youtube_07670.jpg,youtube
208,05520,0,actors_05520.jpg,actors
209,03370,0,youtube_03370.jpg,youtube
210,01020,0,actors_01020.jpg,actors
211,11760,0,youtube_11760.jpg,youtube
212,13430,0,actors_13430.jpg,actors
213,08010,0,actors_08010.jpg,actors
214,12060,0,actors_12060.jpg,actors
215,10330,0,youtube_10330.jpg,youtube
216,09440,0,actors_09440.jpg,actors
217,04170,0,actors_04170.jpg,actors
218,06220,0,youtube_06220.jpg,youtube
219,00470,0,actors_00470.jpg,actors
220,07880,0,youtube_07880.jpg,youtube
221,02720,0,youtube_02720.jpg,youtube
222,08580,0,youtube_08580.jpg,youtube
223,10850,0,actors_10850.jpg,actors
224,06940,0,actors_06940.jpg,actors
225,03810,0,actors_03810.jpg,actors
226,08560,0,actors_08560.jpg,actors
227,13140,0,actors_13140.jpg,actors
228,11210,0,youtube_11210.jpg,youtube
229,01550,0,actors_01550.jpg,actors
230,03600,0,youtube_03600.jpg,youtube
231,05050,0,actors_05050.jpg,actors
232,07300,0,youtube_07300.jpg,youtube
