,loss,accuracy,val_loss,val_accuracy
0,0.4647960364818573,0.7875000238418579,0.40677598118782043,0.8675000071525574
1,0.2528858780860901,0.9045833349227905,0.27475887537002563,0.8999999761581421
2,0.15570802986621857,0.9449999928474426,0.32981738448143005,0.8899999856948853
3,0.12370555847883224,0.9608333110809326,0.2992079555988312,0.925000011920929
4,0.10865000635385513,0.9583333134651184,0.158741757273674,0.9375
5,0.07719094306230545,0.9733333587646484,0.2370012402534485,0.9275000095367432
6,0.06575452536344528,0.9791666865348816,0.17024846374988556,0.9462500214576721
7,0.05373171344399452,0.9833333492279053,0.21157877147197723,0.9424999952316284
8,0.037366464734077454,0.9870833158493042,0.17547178268432617,0.9325000047683716
9,0.04570670798420906,0.98458331823349,0.18346723914146423,0.9300000071525574
10,0.03357888385653496,0.9883333444595337,0.17824867367744446,0.9412500262260437
11,0.06671886146068573,0.9783333539962769,0.17019933462142944,0.9424999952316284
